bag_number,purple,green,red,yellow,orange,total_perf,d_purple,d_green,d_red,d_yellow,d_orange,total_def,bag_total
1,3,25,6,14,6,54,0,0,2,1,1,4,58
2,12,11,10,14,9,56,0,1,2,1,4,8,64
3,8,13,6,17,10,54,0,5,0,1,1,7,61
4,13,9,12,9,10,53,1,0,2,1,1,5,58
5,13,7,8,13,11,52,0,0,1,1,3,5,57
6,17,7,10,14,8,56,0,0,3,0,1,4,60
7,5,7,21,8,14,55,2,1,2,0,2,7,62
8,14,7,13,11,11,56,2,0,1,1,1,5,61
9,13,10,8,16,6,53,0,2,2,1,2,7,60
10,11,14,6,10,12,53,0,4,0,1,1,6,59
11,5,14,10,14,13,56,1,3,0,1,1,6,62
12,9,9,13,13,9,53,1,6,3,1,3,14,67
13,7,13,9,16,9,54,1,0,0,0,1,2,56
14,10,9,15,8,13,55,1,1,0,0,2,4,59
15,9,9,14,17,6,55,0,1,1,1,1,4,59
16,6,12,12,12,11,53,0,5,1,1,2,9,62
17,7,12,9,21,5,54,1,4,3,0,0,8,62
18,15,11,9,12,6,53,0,8,1,0,1,10,63
19,11,12,9,12,6,50,0,4,4,0,0,8,58
20,11,11,12,11,13,58,0,0,0,0,1,1,59
21,8,10,10,13,11,52,1,4,2,1,6,14,66
22,12,12,12,13,8,57,1,0,0,0,0,1,58
23,9,10,9,14,9,51,3,4,2,0,1,10,61
24,12,10,11,10,9,52,0,2,3,0,0,5,57
25,7,11,7,14,15,54,3,5,0,0,1,9,63
26,8,10,14,14,7,53,1,2,1,2,1,7,60
27,12,8,12,11,9,52,1,4,3,0,3,11,63
28,8,11,13,10,10,52,0,6,1,0,3,10,62
29,8,12,16,9,13,58,0,0,1,1,0,2,60
30,10,7,7,16,14,54,0,3,4,0,3,10,64
31,9,13,6,12,13,53,3,5,0,0,1,9,62
32,7,11,8,15,13,54,1,3,0,1,3,8,62
33,11,12,9,16,8,56,0,0,1,1,2,4,60
34,6,10,16,6,17,55,1,2,3,1,4,11,66
35,11,12,9,13,10,55,1,2,5,2,0,10,65
36,8,7,15,9,18,57,2,1,0,1,0,4,61
37,10,14,9,11,7,51,0,4,2,0,4,10,61
38,12,9,11,16,7,55,0,1,0,2,1,4,59
39,8,11,19,11,4,53,0,3,1,0,2,6,59
40,7,12,11,13,12,55,2,2,1,0,0,5,60
41,6,16,12,11,10,55,1,5,1,1,1,9,64
42,8,10,9,15,12,54,2,1,1,1,2,7,61
43,9,11,7,13,15,55,2,1,2,0,2,7,62
44,10,12,7,13,12,54,3,0,0,0,4,7,61
45,9,14,9,10,10,52,0,2,7,1,5,15,67
46,15,14,9,8,9,55,0,4,2,1,3,10,65
47,12,19,5,6,10,52,2,2,2,2,3,11,63
48,8,13,7,15,14,57,0,0,1,1,1,3,60
49,9,11,8,17,12,57,0,0,3,0,0,3,60
50,11,10,8,8,16,53,2,4,1,0,2,9,62
51,10,10,9,13,9,51,2,1,4,1,5,13,64
52,12,12,8,8,13,53,0,2,2,0,4,8,61
53,11,12,6,11,14,54,2,1,2,1,2,8,62
54,3,9,10,15,16,53,1,2,3,1,10,17,70
55,12,9,8,12,9,50,4,4,3,1,3,15,65
56,11,13,11,10,12,57,0,0,0,0,0,0,57
57,12,6,11,12,13,54,0,2,1,0,0,3,57
58,12,7,9,9,10,47,3,7,3,3,3,19,66
59,7,10,8,16,10,51,3,2,1,0,7,13,64
60,16,10,11,15,5,57,0,3,0,0,0,3,60
61,14,14,9,11,8,56,2,1,1,0,2,6,62
62,8,14,8,9,17,56,0,0,0,0,0,0,56
63,10,8,13,13,10,54,0,3,3,0,0,6,60
64,14,11,11,9,11,56,0,0,3,0,1,4,60
65,9,10,8,10,14,51,3,1,1,0,6,11,62
66,13,10,13,10,9,55,2,3,0,0,1,6,61
67,8,16,11,8,13,56,8,1,1,1,2,13,69
68,14,13,6,10,10,53,1,2,1,0,3,7,60
69,7,11,11,11,12,52,1,7,5,1,2,16,68
70,10,7,7,15,10,49,2,7,6,3,6,24,73
71,6,11,13,12,13,55,0,5,1,1,3,10,65
72,13,7,14,10,14,58,0,0,0,1,2,3,61
73,6,10,7,14,9,46,2,5,5,1,4,17,63
74,6,11,9,17,10,53,1,3,1,1,2,8,61
75,11,10,11,16,5,53,0,4,1,0,5,10,63
76,13,11,12,9,13,58,2,1,0,0,4,7,65
77,7,8,13,16,9,53,1,1,0,0,1,3,56
78,7,12,13,11,12,55,2,0,0,1,4,7,62
79,18,3,8,12,12,53,1,1,0,2,2,6,59
80,8,10,13,5,15,51,1,1,6,1,4,13,64
81,7,17,12,7,11,54,0,0,2,1,1,4,58
82,10,11,8,12,13,54,1,0,1,0,1,3,57
83,11,9,12,10,13,55,2,3,2,3,6,16,71
84,13,15,10,7,12,57,0,1,1,0,0,2,59
85,7,10,8,14,14,53,0,1,6,0,3,10,63
86,6,1,10,21,7,45,0,4,1,0,2,7,52
87,9,15,8,14,8,54,3,0,2,0,2,7,61
88,10,10,13,8,12,53,0,0,1,1,1,3,56
89,12,11,6,13,12,54,2,2,2,0,1,7,61
90,6,10,13,10,13,52,0,1,3,1,0,5,57
92,9,17,11,10,7,54,0,2,0,0,0,2,56
93,9,7,11,13,8,48,1,3,3,2,6,15,63
93,7,10,6,12,20,55,2,0,3,1,0,6,61
94,8,10,10,7,18,53,5,3,4,1,6,19,72
95,8,14,7,13,11,53,2,2,2,2,2,10,63
96,11,12,8,19,7,57,0,2,0,0,2,4,61
97,10,4,11,21,13,59,0,0,1,0,0,1,60
98,5,12,14,7,13,51,1,2,3,3,0,9,60
99,9,13,5,11,14,52,1,1,0,1,2,5,57
100,10,10,13,9,10,52,1,1,3,0,4,9,61
